question,answer,augmentation_type
What is the difference between common admissions and direct admission courses in CDE?,"Common admissions (Engineering) uses one set of entry requirements for all majors; you can choose your major later. Direct admission courses have dedicated entry requirements and determine your major from start (e.g. Architecture, Industrial Design).",original
I'd like to know about the difference between common admissions and direct admission courses in CDE?,"Common admissions (Engineering) uses one set of entry requirements for all majors; you can choose your major later. Direct admission courses have dedicated entry requirements and determine your major from start (e.g. Architecture, Industrial Design).",reformulation
Could you please tell me what is the difference between common admissions and direct admission courses in cde?,"Common admissions (Engineering) uses one set of entry requirements for all majors; you can choose your major later. Direct admission courses have dedicated entry requirements and determine your major from start (e.g. Architecture, Industrial Design).",context_variation
Tell me about the difference between common admissions and direct admission courses in CDE?,"Common admissions (Engineering) uses one set of entry requirements for all majors; you can choose your major later. Direct admission courses have dedicated entry requirements and determine your major from start (e.g. Architecture, Industrial Design).",reformulation
"If I select Engineering common admissions, will a major be assigned to me?",You either pick a preferred major at admission or choose 'Major to be Decided' and decide at matriculation.,original
"If I select Engineering common admissions, is my choice of major guaranteed?","Yes: if admitted via the common pool, you are guaranteed a place in the major of your choice among the pool.",original
"Could you please tell me if i select engineering common admissions, is my choice of major guaranteed?","Yes: if admitted via the common pool, you are guaranteed a place in the major of your choice among the pool.",context_variation
"I would like to know if i select engineering common admissions, is my choice of major guaranteed?","Yes: if admitted via the common pool, you are guaranteed a place in the major of your choice among the pool.",context_variation
"If I select Engineering common admissions, is my choice of major guaranteed for my application?","Yes: if admitted via the common pool, you are guaranteed a place in the major of your choice among the pool.",context_variation
What subjects should I take to get into CDE?,Depends on your pre-university qualification. For A-levels: H2 Mathematics is required. For IB: HL Mathematics: Analysis & Approaches. Poly students: an accredited diploma. Direct admission programmes may have other requirements.,original
I would like to know what subjects should i take to get into cde?,Depends on your pre-university qualification. For A-levels: H2 Mathematics is required. For IB: HL Mathematics: Analysis & Approaches. Poly students: an accredited diploma. Direct admission programmes may have other requirements.,context_variation
What does 'build your own degree' mean in CDE?,You have ten modules of Unrestricted Electives (UE) to customise your depth or breadth. You may add minors or specialisations within your UE space.,original
What does 'build your own degree' mean in CDE as a prospective student?,You have ten modules of Unrestricted Electives (UE) to customise your depth or breadth. You may add minors or specialisations within your UE space.,context_variation
What does 'build your own degree' mean in CDE for my application?,You have ten modules of Unrestricted Electives (UE) to customise your depth or breadth. You may add minors or specialisations within your UE space.,context_variation
Am I allowed to take second majors and minors outside CDE?,"Yes. You have access to all second majors and minors across NUS faculties, subject to approval.",original
Can you help me understand am i allowed to take second majors and minors outside cde?,"Yes. You have access to all second majors and minors across NUS faculties, subject to approval.",context_variation
Am I allowed to take second majors and minors outside CDE for planning purposes?,"Yes. You have access to all second majors and minors across NUS faculties, subject to approval.",context_variation
I'm wondering am i allowed to take second majors and minors outside cde?,"Yes. You have access to all second majors and minors across NUS faculties, subject to approval.",context_variation
"Do I have to decide on a second major or minor at application, or can I decide later?","You can decide after matriculation, up to your 5th semester. The curated list shown during application is limited.",original
"I'm wondering do i have to decide on a second major or minor at application, or can i decide later?","You can decide after matriculation, up to your 5th semester. The curated list shown during application is limited.",context_variation
"I would like to know do i have to decide on a second major or minor at application, or can i decide later?","You can decide after matriculation, up to your 5th semester. The curated list shown during application is limited.",context_variation
What majors are offered in CDE?,CDE offers 15 majors: Architecture; Biomedical Engineering; Chemical Engineering; Civil Engineering; Computer Engineering; Electrical Engineering; Engineering Science; Environmental & Sustainability Engineering; Industrial Design; Industrial & Systems Engineering; Infrastructure & Project Management; Landscape Architecture; Materials Science & Engineering; Mechanical Engineering; Robotics & Machine Intelligence.,original
What majors are offered in CDE before I apply?,CDE offers 15 majors: Architecture; Biomedical Engineering; Chemical Engineering; Civil Engineering; Computer Engineering; Electrical Engineering; Engineering Science; Environmental & Sustainability Engineering; Industrial Design; Industrial & Systems Engineering; Infrastructure & Project Management; Landscape Architecture; Materials Science & Engineering; Mechanical Engineering; Robotics & Machine Intelligence.,context_variation
I would like to know what majors are offered in cde?,CDE offers 15 majors: Architecture; Biomedical Engineering; Chemical Engineering; Civil Engineering; Computer Engineering; Electrical Engineering; Engineering Science; Environmental & Sustainability Engineering; Industrial Design; Industrial & Systems Engineering; Infrastructure & Project Management; Landscape Architecture; Materials Science & Engineering; Mechanical Engineering; Robotics & Machine Intelligence.,context_variation
How many majors are there in CDE?,There are 15 majors in the College of Design & Engineering.,original
List the majors in CDE.,"The majors are: Architecture, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Engineering Science, Environmental & Sustainability, Industrial Design, Industrial & Systems Engineering, Infrastructure & Project Management, Landscape Architecture, Materials Science & Engineering, Mechanical Engineering, Robotics & Machine Intelligence.",original
I'm wondering list the majors in cde.,"The majors are: Architecture, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Engineering Science, Environmental & Sustainability, Industrial Design, Industrial & Systems Engineering, Infrastructure & Project Management, Landscape Architecture, Materials Science & Engineering, Mechanical Engineering, Robotics & Machine Intelligence.",context_variation
I would like to know list the majors in cde.,"The majors are: Architecture, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Engineering Science, Environmental & Sustainability, Industrial Design, Industrial & Systems Engineering, Infrastructure & Project Management, Landscape Architecture, Materials Science & Engineering, Mechanical Engineering, Robotics & Machine Intelligence.",context_variation
Does CDE offer Robotics and Machine Intelligence as a major?,"Yes, CDE offers Robotics & Machine Intelligence as one of its majors.",original
I would like to know does cde offer robotics and machine intelligence as a major?,"Yes, CDE offers Robotics & Machine Intelligence as one of its majors.",context_variation
Does CDE offer Robotics and Machine Intelligence as a major for my application?,"Yes, CDE offers Robotics & Machine Intelligence as one of its majors.",context_variation
I'm wondering does cde offer robotics and machine intelligence as a major?,"Yes, CDE offers Robotics & Machine Intelligence as one of its majors.",context_variation
Do CDE students have many minor choices?,"Yes. Some minors include Architectural Studies; Biomedical Engineering; Data Engineering; Engineering Materials; Infrastructure Management & Finance; Innovation & Design; Landscape Architectural Studies; Management of Technology; Project Management; Systems Engineering; Visual Communication Design; and more outside CDE such as Cities, AI (Design & Eng), Computing (Design & Eng), Hydrogen & Low Carbon Technology.",original
Can you help me understand do cde students have many minor choices?,"Yes. Some minors include Architectural Studies; Biomedical Engineering; Data Engineering; Engineering Materials; Infrastructure Management & Finance; Innovation & Design; Landscape Architectural Studies; Management of Technology; Project Management; Systems Engineering; Visual Communication Design; and more outside CDE such as Cities, AI (Design & Eng), Computing (Design & Eng), Hydrogen & Low Carbon Technology.",context_variation
Do CDE students have many minor choices as a prospective student?,"Yes. Some minors include Architectural Studies; Biomedical Engineering; Data Engineering; Engineering Materials; Infrastructure Management & Finance; Innovation & Design; Landscape Architectural Studies; Management of Technology; Project Management; Systems Engineering; Visual Communication Design; and more outside CDE such as Cities, AI (Design & Eng), Computing (Design & Eng), Hydrogen & Low Carbon Technology.",context_variation
I would like to know do cde students have many minor choices?,"Yes. Some minors include Architectural Studies; Biomedical Engineering; Data Engineering; Engineering Materials; Infrastructure Management & Finance; Innovation & Design; Landscape Architectural Studies; Management of Technology; Project Management; Systems Engineering; Visual Communication Design; and more outside CDE such as Cities, AI (Design & Eng), Computing (Design & Eng), Hydrogen & Low Carbon Technology.",context_variation
How many units do I need for a minor?,"Typically, a minor requires 20 units of coursework.",original
I would like to know how many units do i need for a minor?,"Typically, a minor requires 20 units of coursework.",context_variation
How many units do I need for a minor before I apply?,"Typically, a minor requires 20 units of coursework.",context_variation
How many units do I need for a minor as a prospective student?,"Typically, a minor requires 20 units of coursework.",context_variation
How many units do I need for a second major?,A second major generally requires 40 units of coursework.,original
How many units do I need for a second major before I apply?,A second major generally requires 40 units of coursework.,context_variation
Can you help me understand how many units do i need for a second major?,A second major generally requires 40 units of coursework.,context_variation
What double degree programmes (DDP) are available in CDE/NUS?,"CDE offers DDPs within CDE, Engineering+Business, programmes with the College of Humanities & Sciences, student-initiated DDPs, and a French Double Degree Programme.",original
Could you please tell me what double degree programmes (ddp) are available in cde/nus?,"CDE offers DDPs within CDE, Engineering+Business, programmes with the College of Humanities & Sciences, student-initiated DDPs, and a French Double Degree Programme.",context_variation
What double degree programmes (DDP) are available in CDE/NUS before I apply?,"CDE offers DDPs within CDE, Engineering+Business, programmes with the College of Humanities & Sciences, student-initiated DDPs, and a French Double Degree Programme.",context_variation
Can I do a double degree in Engineering & Business?,"Yes, NUS offers a Double Degree in Engineering & Business Administration.",original
Can you help me understand can i do a double degree in engineering & business?,"Yes, NUS offers a Double Degree in Engineering & Business Administration.",context_variation
Could you please tell me can i do a double degree in engineering & business?,"Yes, NUS offers a Double Degree in Engineering & Business Administration.",context_variation
Does NUS have a French Double Degree Programme?,Yes — CDE collaborates to offer a French Double Degree Programme with partner universities in France.,original
I would like to know does nus have a french double degree programme?,Yes — CDE collaborates to offer a French Double Degree Programme with partner universities in France.,context_variation
I'm wondering does nus have a french double degree programme?,Yes — CDE collaborates to offer a French Double Degree Programme with partner universities in France.,context_variation
Can you help me understand does nus have a french double degree programme?,Yes — CDE collaborates to offer a French Double Degree Programme with partner universities in France.,context_variation
What special programmes are available at NUS for CDE students?,"Special programmes include Residential Colleges, NUS College, NUS Overseas Colleges (NOC), and the Engineering Scholars Programme (E-Scholars).",original
I'm wondering what special programmes are available at nus for cde students?,"Special programmes include Residential Colleges, NUS College, NUS Overseas Colleges (NOC), and the Engineering Scholars Programme (E-Scholars).",context_variation
What is the Engineering Scholars (E-Scholars) Programme?,"E-Scholars is a premier track for high-potential engineering students, offering enhanced academic and leadership opportunities.",original
Can you help me understand what is the engineering scholars (e-scholars) programme?,"E-Scholars is a premier track for high-potential engineering students, offering enhanced academic and leadership opportunities.",context_variation
I'd like to know about the Engineering Scholars (E-Scholars) Programme?,"E-Scholars is a premier track for high-potential engineering students, offering enhanced academic and leadership opportunities.",reformulation
Could you please tell me what is the engineering scholars (e-scholars) programme?,"E-Scholars is a premier track for high-potential engineering students, offering enhanced academic and leadership opportunities.",context_variation
Can CDE students participate in NUS Overseas Colleges?,"Yes — students can join NOC to live, study, and intern in entrepreneurial hubs globally while taking courses from partner universities.",original
What is NUS College?,"NUS College (merger of USP/Yale-NUS) is an honours college that emphasizes global, interdisciplinary, and citizenship learning.",original
Tell me about NUS College?,"NUS College (merger of USP/Yale-NUS) is an honours college that emphasizes global, interdisciplinary, and citizenship learning.",reformulation
Explain NUS College?,"NUS College (merger of USP/Yale-NUS) is an honours college that emphasizes global, interdisciplinary, and citizenship learning.",reformulation
What is NUS College as a prospective student?,"NUS College (merger of USP/Yale-NUS) is an honours college that emphasizes global, interdisciplinary, and citizenship learning.",context_variation
What is the ranking of NUS globally?,NUS is ranked #8 in the QS World University Rankings 2026.,original
Could you please tell me what is the ranking of nus globally?,NUS is ranked #8 in the QS World University Rankings 2026.,context_variation
Can you help me understand what is the ranking of nus globally?,NUS is ranked #8 in the QS World University Rankings 2026.,context_variation
What is the ranking of NUS globally as a prospective student?,NUS is ranked #8 in the QS World University Rankings 2026.,context_variation
Is NUS the top university in Asia?,"Yes, NUS is ranked #1 in Asia in the QS World University Rankings 2026.",original
Could you please tell me is nus the top university in asia?,"Yes, NUS is ranked #1 in Asia in the QS World University Rankings 2026.",context_variation
I would like to know is nus the top university in asia?,"Yes, NUS is ranked #1 in Asia in the QS World University Rankings 2026.",context_variation
Is NUS the top university in Asia for my application?,"Yes, NUS is ranked #1 in Asia in the QS World University Rankings 2026.",context_variation
When was NUS founded?,Its roots date to 1905 when the Straits Settlements and Federated Malay States Government Medical School was founded.,original
I'm wondering when was nus founded?,Its roots date to 1905 when the Straits Settlements and Federated Malay States Government Medical School was founded.,context_variation
Could you please tell me when was nus founded?,Its roots date to 1905 when the Straits Settlements and Federated Malay States Government Medical School was founded.,context_variation
Can you help me understand when was nus founded?,Its roots date to 1905 when the Straits Settlements and Federated Malay States Government Medical School was founded.,context_variation
When did the modern NUS form?,The National University of Singapore was officially formed on 8 August 1980 via the merger of the University of Singapore and Nanyang University.,original
When did the modern NUS form before I apply?,The National University of Singapore was officially formed on 8 August 1980 via the merger of the University of Singapore and Nanyang University.,context_variation
Can you help me understand when did the modern nus form?,The National University of Singapore was officially formed on 8 August 1980 via the merger of the University of Singapore and Nanyang University.,context_variation
I would like to know when did the modern nus form?,The National University of Singapore was officially formed on 8 August 1980 via the merger of the University of Singapore and Nanyang University.,context_variation
Who founded the original medical school in Singapore?,It was founded in 1905 by community leaders led by Tan Jiak Kim.,original
Who founded the original medical school in Singapore for my application?,It was founded in 1905 by community leaders led by Tan Jiak Kim.,context_variation
Why is NUS considered Singapore’s oldest university?,"Because its predecessor dates back to 1905 with the establishment of the medical school, making it the oldest institution of higher learning in Singapore.",original
Why is NUS considered Singapore’s oldest university before I apply?,"Because its predecessor dates back to 1905 with the establishment of the medical school, making it the oldest institution of higher learning in Singapore.",context_variation
I'm wondering why is nus considered singapore’s oldest university?,"Because its predecessor dates back to 1905 with the establishment of the medical school, making it the oldest institution of higher learning in Singapore.",context_variation
I would like to know why is nus considered singapore’s oldest university?,"Because its predecessor dates back to 1905 with the establishment of the medical school, making it the oldest institution of higher learning in Singapore.",context_variation
What campuses does NUS have?,"NUS has three main campuses: Kent Ridge (main), Bukit Timah (Law, Public Policy), and Outram (Duke-NUS).",original
I would like to know what campuses does nus have?,"NUS has three main campuses: Kent Ridge (main), Bukit Timah (Law, Public Policy), and Outram (Duke-NUS).",context_variation
What campuses does NUS have for my application?,"NUS has three main campuses: Kent Ridge (main), Bukit Timah (Law, Public Policy), and Outram (Duke-NUS).",context_variation
What campuses does NUS have as a prospective student?,"NUS has three main campuses: Kent Ridge (main), Bukit Timah (Law, Public Policy), and Outram (Duke-NUS).",context_variation
How many faculties or schools does NUS have?,NUS comprises 17 faculties and schools across its campuses.,original
Could you please tell me how many faculties or schools does nus have?,NUS comprises 17 faculties and schools across its campuses.,context_variation
How many faculties or schools does NUS have as a prospective student?,NUS comprises 17 faculties and schools across its campuses.,context_variation
What is NUS’s coat of arms symbolism?,"Its coat of arms combines the open book (knowledge), the lion (Singapore), and three rings (creativity, innovation, application).",original
Explain NUS’s coat of arms symbolism?,"Its coat of arms combines the open book (knowledge), the lion (Singapore), and three rings (creativity, innovation, application).",reformulation
Tell me about NUS’s coat of arms symbolism?,"Its coat of arms combines the open book (knowledge), the lion (Singapore), and three rings (creativity, innovation, application).",reformulation
What is NUS’s location and campus environment?,"NUS is a public research university located in Queenstown, Singapore. The main campus is adjacent to Kent Ridge.",original
Can you help me understand what is nus’s location and campus environment?,"NUS is a public research university located in Queenstown, Singapore. The main campus is adjacent to Kent Ridge.",context_variation
What is NUS’s location and campus environment as a prospective student?,"NUS is a public research university located in Queenstown, Singapore. The main campus is adjacent to Kent Ridge.",context_variation
Tell me about NUS’s location and campus environment?,"NUS is a public research university located in Queenstown, Singapore. The main campus is adjacent to Kent Ridge.",reformulation
Which former institutions preceded NUS?,"NUS evolved from the King Edward VII College of Medicine, University of Malaya (Singapore division), University of Singapore, and Nanyang University.",original
Which former institutions preceded NUS for my application?,"NUS evolved from the King Edward VII College of Medicine, University of Malaya (Singapore division), University of Singapore, and Nanyang University.",context_variation
I'm wondering which former institutions preceded nus?,"NUS evolved from the King Edward VII College of Medicine, University of Malaya (Singapore division), University of Singapore, and Nanyang University.",context_variation
Could you please tell me which former institutions preceded nus?,"NUS evolved from the King Edward VII College of Medicine, University of Malaya (Singapore division), University of Singapore, and Nanyang University.",context_variation
How many students and staff does NUS have?,"As of recent data: ~35,908 students (27,604 undergrad, 8,304 postgraduate), with ~2,555 academic staff.",original
I'm wondering how many students and staff does nus have?,"As of recent data: ~35,908 students (27,604 undergrad, 8,304 postgraduate), with ~2,555 academic staff.",context_variation
Can you help me understand how many students and staff does nus have?,"As of recent data: ~35,908 students (27,604 undergrad, 8,304 postgraduate), with ~2,555 academic staff.",context_variation
I would like to know how many students and staff does nus have?,"As of recent data: ~35,908 students (27,604 undergrad, 8,304 postgraduate), with ~2,555 academic staff.",context_variation
